Date,Symbol,TradeType,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL,ExitReason
11-01-2024,BPCL,Buy,10:05:00,217.9,11:50:00,217.35,-0.55,Stop Loss Hit
12-01-2024,BPCL,Sell,09:25:00,217.9,10:35:00,218.45,-0.55,Stop Loss Hit
15-01-2024,BPCL,Sell,09:35:00,218.75,10:30:00,217.65,1.1,Target Hit
15-01-2024,BPCL,Buy,11:40:00,220.7,12:00:00,219.95,-0.75,Stop Loss Hit
16-01-2024,BPCL,Buy,10:50:00,223.55,11:20:00,224.9,1.35,Target Hit
17-01-2024,BPCL,Buy,09:25:00,226.45,09:55:00,224.75,-1.7,Stop Loss Hit
18-01-2024,BPCL,Sell,09:45:00,222.35,09:50:00,221,1.35,Target Hit
18-01-2024,BPCL,Buy,10:35:00,227.3,10:45:00,229.2,1.9,Target Hit
19-01-2024,BPCL,Sell,09:30:00,226.5,09:35:00,227.2,-0.7,Stop Loss Hit
19-01-2024,BPCL,Buy,13:20:00,229,13:25:00,228.4,-0.6,Stop Loss Hit
20-01-2024,BPCL,Sell,09:30:00,230.75,09:45:00,231.5,-0.75,Stop Loss Hit
23-01-2024,BPCL,Sell,09:20:00,228.6,09:50:00,229.25,-0.65,Stop Loss Hit
24-01-2024,BPCL,Buy,09:35:00,224.15,09:40:00,223.15,-1,Stop Loss Hit
25-01-2024,BPCL,Buy,09:25:00,230.85,10:45:00,230.25,-0.6,Stop Loss Hit
25-01-2024,BPCL,Sell,13:30:00,226.4,13:50:00,227.9,-1.5,Stop Loss Hit
29-01-2024,BPCL,Buy,09:30:00,227.65,09:40:00,228.9,1.25,Target Hit
30-01-2024,BPCL,Sell,09:20:00,236.8,09:30:00,238.8,-2,Stop Loss Hit
30-01-2024,BPCL,Buy,09:35:00,240.7,09:50:00,239.45,-1.25,Stop Loss Hit
31-01-2024,BPCL,Buy,09:30:00,245.4,09:35:00,244.75,-0.65,Stop Loss Hit
31-01-2024,BPCL,Sell,10:50:00,240.9,14:15:00,239.1,1.8,Target Hit
01-02-2024,BPCL,Buy,09:30:00,246.3,09:40:00,245.3,-1,Stop Loss Hit
01-02-2024,BPCL,Sell,11:15:00,241.2,11:20:00,241.9,-0.7,Stop Loss Hit
02-02-2024,BPCL,Buy,09:20:00,251.9,09:40:00,253.5,1.6,Target Hit
05-02-2024,BPCL,Buy,09:25:00,274.9,09:30:00,272,-2.9,Stop Loss Hit
06-02-2024,BPCL,Buy,09:50:00,280.7,10:00:00,283,2.3,Target Hit
07-02-2024,BPCL,Sell,09:20:00,292.35,09:25:00,290.5,1.85,Target Hit
07-02-2024,BPCL,Buy,09:55:00,298.7,10:00:00,296.1,-2.6,Stop Loss Hit
08-02-2024,BPCL,Buy,09:20:00,300.45,09:25:00,298.9,-1.55,Stop Loss Hit
09-02-2024,BPCL,Sell,09:30:00,294.4,09:35:00,290.65,3.75,Target Hit
12-02-2024,BPCL,Sell,09:20:00,293.7,09:25:00,296.3,-2.6,Stop Loss Hit
13-02-2024,BPCL,Sell,09:20:00,282.35,09:25:00,284.5,-2.15,Stop Loss Hit
13-02-2024,BPCL,Buy,11:10:00,287.45,11:15:00,285.3,-2.15,Stop Loss Hit
14-02-2024,BPCL,Buy,11:25:00,290.3,11:40:00,292.2,1.9,Target Hit
15-02-2024,BPCL,Buy,09:20:00,307.9,09:25:00,306.9,-1,Stop Loss Hit
16-02-2024,BPCL,Buy,09:20:00,331.5,09:30:00,329,-2.5,Stop Loss Hit
16-02-2024,BPCL,Sell,12:20:00,318.5,12:25:00,319.35,-0.85,Stop Loss Hit
19-02-2024,BPCL,Sell,09:50:00,315.9,10:00:00,316.75,-0.85,Stop Loss Hit
19-02-2024,BPCL,Buy,10:15:00,321.5,10:25:00,316.2,-5.3,Stop Loss Hit
20-02-2024,BPCL,Sell,09:20:00,311.8,09:25:00,315.45,-3.65,Stop Loss Hit
20-02-2024,BPCL,Buy,14:15:00,316.8,15:15:00,318,1.2,Time Exit
21-02-2024,BPCL,Sell,09:20:00,315.6,09:25:00,316.4,-0.8,Stop Loss Hit
22-02-2024,BPCL,Sell,09:25:00,298.9,09:30:00,296.5,2.4,Target Hit
23-02-2024,BPCL,Sell,09:30:00,299.9,09:40:00,300.7,-0.8,Stop Loss Hit
26-02-2024,BPCL,Sell,10:25:00,291.8,10:45:00,292.9,-1.1,Stop Loss Hit
26-02-2024,BPCL,Buy,13:50:00,300.5,14:00:00,298.7,-1.8,Stop Loss Hit
27-02-2024,BPCL,Buy,09:25:00,304.55,10:05:00,301.85,-2.7,Stop Loss Hit
27-02-2024,BPCL,Sell,12:00:00,300.2,13:15:00,301.9,-1.7,Stop Loss Hit
28-02-2024,BPCL,Sell,09:35:00,299.95,10:45:00,298.05,1.9,Target Hit
29-02-2024,BPCL,Sell,09:20:00,288.25,09:25:00,291.5,-3.25,Stop Loss Hit
01-03-2024,BPCL,Buy,09:20:00,299.8,09:30:00,301.4,1.6,Target Hit
02-03-2024,BPCL,Sell,09:20:00,299,09:25:00,299.9,-0.9,Stop Loss Hit
02-03-2024,BPCL,Buy,11:30:00,302.5,11:40:00,301.6,-0.9,Stop Loss Hit
04-03-2024,BPCL,Buy,09:30:00,303.2,09:45:00,301.15,-2.05,Stop Loss Hit
05-03-2024,BPCL,Sell,10:15:00,307,10:35:00,308.6,-1.6,Stop Loss Hit
05-03-2024,BPCL,Buy,10:50:00,310.85,11:30:00,312.6,1.75,Target Hit
06-03-2024,BPCL,Buy,09:20:00,315.8,09:25:00,314.1,-1.7,Stop Loss Hit
06-03-2024,BPCL,Sell,09:45:00,306.3,10:05:00,303.05,3.25,Target Hit
07-03-2024,BPCL,Sell,09:20:00,304.95,09:35:00,306.4,-1.45,Stop Loss Hit
11-03-2024,BPCL,Buy,09:20:00,302.75,09:25:00,304.6,1.85,Target Hit
12-03-2024,BPCL,Sell,09:25:00,301.05,09:30:00,303.3,-2.25,Stop Loss Hit
13-03-2024,BPCL,Sell,09:20:00,301.1,09:30:00,299.3,1.8,Target Hit
14-03-2024,BPCL,Buy,09:20:00,294.1,09:30:00,293.2,-0.9,Stop Loss Hit
15-03-2024,BPCL,Buy,09:20:00,288.7,09:25:00,285.4,-3.3,Stop Loss Hit
15-03-2024,BPCL,Sell,09:45:00,280.2,09:55:00,278.1,2.1,Target Hit
19-03-2024,BPCL,Sell,09:55:00,273.9,10:00:00,272.4,1.5,Target Hit
21-03-2024,BPCL,Buy,10:00:00,281.65,10:20:00,283.4,1.75,Target Hit
22-03-2024,BPCL,Buy,09:30:00,285.5,09:35:00,287.3,1.8,Target Hit
26-03-2024,BPCL,Buy,09:50:00,286.5,10:35:00,288.2,1.7,Target Hit
27-03-2024,BPCL,Buy,09:20:00,294.85,09:35:00,294.1,-0.75,Stop Loss Hit
27-03-2024,BPCL,Sell,14:30:00,290.5,14:50:00,289,1.5,Target Hit
28-03-2024,BPCL,Buy,09:40:00,291.2,09:55:00,290.3,-0.9,Stop Loss Hit
01-04-2024,BPCL,Sell,10:55:00,290.3,11:10:00,291.15,-0.85,Stop Loss Hit
01-01-2024,BRITANNIA,Sell,09:20:00,5301.8,10:35:00,5320.4,-18.6,Stop Loss Hit
02-01-2024,BRITANNIA,Sell,09:25:00,5288,10:50:00,5260.5,27.5,Target Hit
03-01-2024,BRITANNIA,Buy,09:20:00,5320,09:35:00,5305.05,-14.95,Stop Loss Hit
03-01-2024,BRITANNIA,Sell,13:35:00,5259,15:15:00,5254.45,4.55,Time Exit
04-01-2024,BRITANNIA,Sell,09:55:00,5232.2,10:55:00,5250,-17.8,Stop Loss Hit
04-01-2024,BRITANNIA,Buy,12:20:00,5275,13:15:00,5315.1,40.1,Target Hit
05-01-2024,BRITANNIA,Sell,09:25:00,5328,09:55:00,5299.8,28.2,Target Hit
08-01-2024,BRITANNIA,Sell,09:25:00,5243.45,09:45:00,5213.35,30.1,Target Hit
09-01-2024,BRITANNIA,Sell,09:20:00,5170.05,09:40:00,5142.35,27.7,Target Hit
10-01-2024,BRITANNIA,Sell,10:25:00,5086,13:05:00,5059.65,26.35,Target Hit
11-01-2024,BRITANNIA,Sell,09:40:00,5086.75,11:15:00,5115.35,-28.6,Stop Loss Hit
11-01-2024,BRITANNIA,Buy,11:40:00,5139.45,12:20:00,5177.35,37.9,Target Hit
12-01-2024,BRITANNIA,Buy,09:30:00,5167.25,10:40:00,5211.9,44.65,Target Hit
15-01-2024,BRITANNIA,Sell,09:30:00,5156.05,09:40:00,5123.25,32.8,Target Hit
15-01-2024,BRITANNIA,Buy,10:20:00,5196,11:10:00,5182,-14,Stop Loss Hit
16-01-2024,BRITANNIA,Buy,09:20:00,5200.6,11:30:00,5187.1,-13.5,Stop Loss Hit
16-01-2024,BRITANNIA,Sell,13:05:00,5155,15:15:00,5126.7,28.3,Target Hit
17-01-2024,BRITANNIA,Sell,10:40:00,5091,15:00:00,5063,28,Target Hit
18-01-2024,BRITANNIA,Sell,09:45:00,4991.8,10:05:00,5014.95,-23.15,Stop Loss Hit
19-01-2024,BRITANNIA,Buy,09:25:00,5088.3,09:35:00,5071.35,-16.95,Stop Loss Hit
20-01-2024,BRITANNIA,Buy,09:20:00,5241.75,09:30:00,5202.75,-39,Stop Loss Hit
23-01-2024,BRITANNIA,Sell,09:20:00,5123,09:35:00,5097.1,25.9,Target Hit
24-01-2024,BRITANNIA,Buy,09:45:00,5075.95,10:15:00,5111.2,35.25,Target Hit
25-01-2024,BRITANNIA,Buy,09:20:00,5191.25,09:25:00,5219.95,28.7,Target Hit
25-01-2024,BRITANNIA,Sell,12:05:00,5116.2,14:00:00,5138.1,-21.9,Stop Loss Hit
29-01-2024,BRITANNIA,Sell,15:05:00,5139,15:15:00,5144.05,-5.05,Time Exit
30-01-2024,BRITANNIA,Sell,10:55:00,5140,11:35:00,5158.1,-18.1,Stop Loss Hit
31-01-2024,BRITANNIA,Buy,09:30:00,5107.25,10:25:00,5072,-35.25,Stop Loss Hit
31-01-2024,BRITANNIA,Sell,10:25:00,5072,11:00:00,5041.85,30.15,Target Hit
01-02-2024,BRITANNIA,Sell,10:10:00,5153.35,10:40:00,5173,-19.65,Stop Loss Hit
02-02-2024,BRITANNIA,Buy,09:35:00,5168.4,09:50:00,5198,29.6,Target Hit
05-02-2024,BRITANNIA,Sell,10:30:00,5144.7,11:40:00,5112,32.7,Target Hit
06-02-2024,BRITANNIA,Sell,10:15:00,5061.6,11:30:00,5082.5,-20.9,Stop Loss Hit
07-02-2024,BRITANNIA,Sell,09:25:00,5022,09:40:00,4964.7,57.3,Target Hit
08-02-2024,BRITANNIA,Sell,09:20:00,5050.95,09:35:00,5022.35,28.6,Target Hit
09-02-2024,BRITANNIA,Buy,12:10:00,4958.8,12:20:00,4945.25,-13.55,Stop Loss Hit
12-02-2024,BRITANNIA,Buy,09:35:00,4974.55,09:55:00,4958.65,-15.9,Stop Loss Hit
13-02-2024,BRITANNIA,Buy,10:00:00,4994,10:10:00,5020.45,26.45,Target Hit
14-02-2024,BRITANNIA,Buy,09:40:00,5003.55,09:45:00,4985.95,-17.6,Stop Loss Hit
